,State,City,Location,Address,Instructions,Accepting,Open packages?
263,CA,placerville,Marshall Medical Center ,"1100 Marshall Way
Placerville, CA 95667",Drop off to ED ,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
264,CA,pomona,Claremont Care Center,"219 E Foothill Blvd
Pomona, CA 91768",Drop off at front entrance,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
265,CA,pomona,Pomona Valley Hospital Medical Center,"1798 N Garey Ave
Pomona, CA 91767","Drop off at ED trauma/ambulance bay entrance. Upon arrival, contact ED security to notify ED charge RN on duty.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
266,CA,pomona,Pomona Valley Hospital Medical Center,"1798 North Garey Avenue
Pomona, CA 91767","Main Hospital or 8am to 12pm at 360 West Vinton Avenue, Pomona CA91767","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Head Wear",Yes
267,CA,pomona,Volunteers of America (Hope for Homes),"1400 E Mission Blvd
Pomona, CA 91766",Ask for Mary Twadros or Taneisha Antoine at security gate for donation drop off ,"N95s, Gloves, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
268,CA,porterville,"Tule River Indian Health Center, Inc","380 Indian Reservation Dr
Porterville, CA 93257",380 N Reservation Road,"Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
269,CA,rancho mirage,Eisenhower Medical Center,"39000 Bob Hope Dr
Rancho Mirage, CA 92270","Please contact me via email 
dr.naila.javaid@gmail.com
 or phone (760) 835-3753","Gowns, Isolation or Surgical Gowns",Unsure
270,CA,redlands,Brookside Healthcare,"105 Terracina Blvd
Redlands, CA 92373",At the front desk,"N95s, Surgical masks, Face shields, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
271,CA,redwood city,Kaiser Permanente - Redwood City,"1100 Veterans Blvd
Redwood City, CA 94063","Please deliver only new items from 6 am to 2:30 pm to the following location: 
At the corner of 1100 Veterans Blvd, turn south on to Walnut Street
Go to the loading dock of Supply Chain (off of Walnut Street, behind the Emergency Dept.)","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer",New packaged equipment only 
272,CA,redwood city,Sequoia Hospital - Redwood City,"170 Alameda de las Pulgas
Redwood City, CA 94062",Please contact the Sequoia Hospital Foundation at 650-367-5657 for more information or drop off items at hospital entrance.,"N95s, Surgical masks, Disinfectant Wipes, Gowns, Hand Sanitizer, 8511 Masks, Kleenex, Coveralls, Hand sewn masks in this pattern: https://drive.google.com/file/d/1EwHrnspVWh1Z30P7VkqiIQtXhPhqmRNT/view?usp=sharing",
273,CA,redwood city,Stanford Health Care,"550 Broadway St.
Redwood City, CA 94063","Dropoff 7 days a week, 8AM-10AM and 3PM-5PM. Details at 
https://bit.ly/StanfordPPENeeds
. Donations must be unopened, original packaging, in accordance with hospital standards. Not accepting homemade supplies at this time.","N95s, Surgical masks, Face shields, Safety goggles, Disinfecting wipes, CAPR/PAPR machines and disposables, flocked swabs",No
274,CA,reseda,Jewish Home for the Aging ,"7150 Tampa Ave
Reseda, CA 91335",Security gate ,"N95s, Face shields, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
275,CA,richmond,Kaiser Permanente ,"901 Nevin Ave
Richmond, CA 94801",Curbside outside hospital lobby. Coordinate w/ me via text/phone 510-932-3801,"N95s, Surgical masks, Face shields, Safety goggles, Hand sanitizer, Disinfecting wipes",Yes
276,CA,riverside,Kaiser Permanente - Riverside,"10800 Magnolia Ave
Riverside, CA 92505",,"N95s, Surgical masks",No
277,CA,riverside,Riverside Community Hospital ,"4445 Magnolia Ave
Riverside, CA 92501","Mail to
 4445 magnolia ave
Riverside, CA 92508","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
278,CA,riverside,VNA HOSPICE ,"6235 River Crest Dr Suite L
Riverside, CA 92507",Leave with front desk ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
279,CA,roseville,Kaiser Permanente - Roseville,"1600 Eureka Rd
Roseville, CA 95661","Front entrance, security desk","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
280,CA,roseville,Sutter Roseville Hospital,"1 Medical Plaza Dr
Roseville, CA 95661",You may leave at mailing address ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
281,CA,roseville,Sutter Roseville Medical Center ,"1 Medical Plaza Dr
Roseville, CA 95661",Emergency Department ,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",No
282,CA,roseville,Synergy HomeCare Roseville,"316 Chelmsford Ct
Roseville, CA 95747",front porch,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
283,CA,sacramento,Capital Transitional Care,"6821 24th St
Sacramento, CA 95822",Front door ring bell,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
284,CA,sacramento,Kaiser Morse,"2025 Morse Ave
Sacramento, CA 95825","Mail Attn: Emergency Dept, 2025 Morse Ave, Sacramento, CA 95825","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Disinfecting wipes",Yes
285,CA,sacramento,Methodist Hospital of sacramento,"7500 Hospital Dr
Sacramento, CA 95823",,"N95s, Surgical masks, Face shields, Gloves, Gowns",Yes
286,CA,sacramento,One Community Health,"1500 21st St
Sacramento, CA 95811",Building A ,"N95s, Disposable booties, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
287,CA,sacramento,One Community Health,"1500 21st Street
Sacramento, CA 95811",Drop at parking lot entrance ,"N95s, Face shields, Hand sanitizer, Disinfecting wipes",Yes
288,CA,sacramento,Sacramento Native American Health Center,"2020 J St
Sacramento, CA 95811",We have a receiving door in alley with a doorbell. ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
289,CA,sacramento,Sutter Medical Center Sacramento,"2825 Capitol Ave
Sacramento, CA 95816","Unused masks only. Mail to Emergency Department, C/o Noel Hastings. For dropoff at Emergency Department, ask for Dr. Hastings, Dr. Montoya, or charge nurse.","N95s, Face shields, Gowns",Unsure
290,CA,sacramento,UC Davis Health,"7301 14th Ave
Sacramento, CA 95820",Central Processing Attention: Danielle Wilkerson,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, CAPR/PAPR machines and disposables; flocked swabs",Currently accepting new and unused supplies as of 3/25/20
291,CA,sacramento,UC Davis Medical Center,"2315 Stockton Blvd
Sacramento, CA 95817",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
292,CA,saint helena,"Adventist Health, Saint Helena","10 Woodland Rd
St Helena, CA 94574","Attn: Tim Lyons, MD","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, Respirators",Yes
293,CA,san carlos,Palo Alto Medical Foundation,"301 Industrial Rd
San Carlos, CA 94070","First Floor Parking Garage, Respiratory Clinic","N95s, Surgical masks, Face shields, Safety goggles, Gowns",Yes
294,CA,san diego,Family Health Center of San Diego ,"4094 Fourth Avenue
San Diego, CA 92103",,"N95s, Surgical masks, Face shields, Safety goggles, Gowns",No
295,CA,san diego,Healthy Living at Home - San Diego,"9444 Waples St #450
San Diego, CA 92121",office functional for critical service 9-5 M-F ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, We primarily work in assisted living and with 65+. Any PPE available to keep them safe PLEASE",Yes
296,CA,san diego,"Hospice of the South Coast, LLC","10251 Vista Sorrento Pkwy, Suite 270
San Diego, CA 92121","10251 Vista Sorrento Pkwy, Ste 270","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",Yes
297,CA,san diego,Kaiser Permanente San Diego Medical Center,"9455 Clairemont Mesa Blvd
San Diego, CA 92123",Emergency Department,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
298,CA,san diego,Kaiser Permanente San Diego medical center ,"9455 Clairemont Mesa Blvd
San Diego, CA 92123",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
299,CA,san diego,Kaiser SDMC  ER,"9455 Clairemont Mesa Blvd
San Diego, CA 92123",San Diego,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
300,CA,san diego,Kaiser Zion ER,"4647 Zion Ave
San Diego, CA 92120",San Diego,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
301,CA,san diego,Scripps Health,For details please email supplychainmanagement@scrippshealth.org,"See 
https://www.scripps.org/news_items/6882-what-is-coronavirus-who-is-affected
 - If planning to donate, please contact email 
supplychainmanagement@scrippshealth.org
 first.","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
302,CA,san diego,Scripps mercy San Diego ,"4077 Fifth Ave
San Diego, CA 92103",Unsure currently. ,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
303,CA,san diego,Sharp HealthCare,"4000 Ruffin Rd Suite A
San Diego, CA 92123",ATTN: Christina Yates,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
304,CA,san diego,Sharp Metropolitan Medical Campus,"4000 Ruffin Rd
San Diego, CA 92123",,"N95s, Surgical masks, Face shields, Safety goggles, Gowns",No
305,CA,san francisco,Coming Home Hospice,"115 Diamond St
San Francisco, CA 94114",Attn: Liezel/Monica,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns",Yes
306,CA,san francisco,CPMC Van Ness Campus,"1101 Van Ness Ave.
San Francisco, CA 94109",Call 844-987-6099 for instructions,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Powered air purifying respirator (PAPR) hoods",No
307,CA,san francisco,Crossroads Home Health & Hospice,"1109 Vicente St #101
San Francisco, CA 94116",Call 415-682-2111 and you can drop and a staff member will grab from you. Thanks!,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
308,CA,san francisco,Dignity Health-GoHealth Urgent Care,"2288 Market St
San Francisco, CA 94114",N/A,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns",unsure
309,CA,san francisco,Kaiser Permanente - San Francisco,"2130 O'Farrell St
San Francisco, CA 94115","Please mail or drop off donations at the address stated above. For mail, please indicate ATTN: Hospital Command Center. For drop offs, please drop off at the loading dock Mon to Fri 6 am to 2:30 pm. If you are dropping off, please contact (415) 833-2593 and a staff member will come to accept the donation.","N95s, Surgical masks, Face shields, Safety goggles, Disinfecting wipes",
310,CA,san francisco,One Medical,"Two Embarcadero Center
2 Embarcadero Center, San Francisco, CA 94111",At Front Desk Open M-F 8am-6pm,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",Yes
311,CA,san francisco,One Medical,"535 Mission St
San Francisco, CA 94105","Leave at front desk, ATTN James Flannagan","Surgical masks, Face shields, Disposable booties, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
312,CA,san francisco,One Medical - Pac Heights,"2410 California St
San Francisco, CA 94115",closes at 5p,"Surgical masks, Face shields, Disposable booties, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
313,CA,san francisco,Saint Francis Memorial Hospital,"900 Hyde St
San Francisco, CA 94109","Email 
Avinesh.Maharaj@dignityhealth.org","N95s, Surgical masks, Face shields, Disposable booties, Hand sanitizer, Disinfectant wipes",No
314,CA,san francisco,St Marys Medical Center Dignity Health,"2250 Hayes St
San Francisco, CA 94117","M-f 1-430, then call 415-516-5184 so someone can open the gate.","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns",No
315,CA,san francisco,Sutter California Pacific Medical Center (CPMC),"1101 Van Ness Ave
San Francisco, CA 94109","Emergency Department Security, unless donation in pallet quantity.","N95s, Surgical masks, Face shields, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
316,CA,san francisco,Sutter Pacific Medical Foundation - Respiratory Clinic,"3801 Sacramento Street
San Francisco, CA 94118","Curbside on Mon-Fri 9am-6pm, for mailing: ATTN: Respiratory Clinic 3rd floor","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, hair nets",No
317,CA,san francisco,UCSF - Mission Bay Campus,"Genentech Hall, 600 16th St, Room N121
San Francisco, CA 94158","No dropoffs here. Go to 3 main UCSF collection sites: 
https://coronavirus.ucsf.edu/help
 For questions call 415-514-4107 or Elizabeth Lin 909-348-3238. ","N95s, Surgical masks, Face shields, Gloves, Hand sanitizer, Disinfecting wipes, mouth swabs",No
318,CA,san francisco,UCSF - Parnassus Campus,"505 Parnassus Ave, Long Hospital Loading Dock, Room L235G
San Francisco, CA 94143","No dropoffs here. Go to 3 main UCSF collection sites: 
https://coronavirus.ucsf.edu/help
 For questions call 415-514-4107 or Elizabeth Lin 909-348-3238. ","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, mouth swabs",No
319,CA,san francisco,UCSF Mission Center Building,"1855 Folsom St
San Francisco, CA 94103","Will be receiving donations 7 days a week, 8 a.m. to 5 p.m. Entrance in the parking lot on Harrison at 15th Street. More info: 
https://coronavirus.ucsf.edu/help","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers","Masks - can be opened, as long as they have not been used. All other items - unopened only pls"
320,CA,san francisco,UCSF Mount Zion Medical Center,"1600 Divisadero St
San Francisco, CA 94115","Semicircle driveway; will be receiving donations 7 days a week, 8 a.m. to 5 p.m. More info: 
https://coronavirus.ucsf.edu/help","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers","Masks - can be opened, as long as they have not been used. All others: unopened"
321,CA,san francisco,Women's HIV Program at UCSF,"1306 York St
San Francisco, CA 94110",On my porch- I direct the clinic and will bring them to clinic right away ,"N95s, Surgical masks",Yes
322,CA,san francisco,Zuckerberg San Francisco General,"350 Rhode Island St #100
San Francisco, CA 94103","SEIU Local 1021
Call 415 848 3611 and get instructions if no answer call Albert Mejia 415 686 5075","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
323,CA,san francisco,Zuckerberg San Francisco General Hospital,"1001 Potrero Ave
San Francisco, CA 94110","For now, call ahead: call the switchboard (628-206-8000), ask for ""Donations Medical Equipment"" or the front desk to arrange drop-off at the main entrance off 23rd St.","N95s, Surgical Masks",No
324,CA,san gabriel,San Gabriel Valley Medical Center ,"438 W Las Tunas Dr
San Gabriel, CA 91776","Attn: Martha Leon and Dr Tsang Lau 
Phone number (626) 570-6575","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer",Yes
325,CA,san jose,AACI Health Clinic (FQHC),"2400 Moorpark Ave #319
San Jose, CA 95128",Mailing address ATTN Helen Wang AACI HC,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
326,CA,san jose,Courtyard Care Center,"340 Northlake Dr
San Jose, CA 95129","Just bring it to the door, will take care of it from there","N95s, Surgical masks, Face shields, Thermometers",Yes
327,CA,san jose,Good Samaritan hospital,"2425 Samaritan Dr
San Jose, CA 95124","By the main entrance, security guard will take them","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
328,CA,san jose,Kaiser Permanente - San Jose,"250 Hospital Pkwy
San Jose, CA  95119",Mail to Dr. Balaji Venkat Attn: Gina Kortz at the provided address. Only new or unused masks (even if expired). Call 669-333-2684 if you have questions.,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
329,CA,san jose,O'Connor Hospital,"2105 Forest Ave
San Jose, CA 95128","We are able to accept individual or small community organization donations at O’Connor Hospital at the loading dock in back of the hospital building:
M-F 6am-5pm (Dock)
or
Sat-Sun 10am-3pm (Front Lobby)","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
330,CA,san jose,Registered Nurses Professional Association,"950 S Bascom Ave #2120
San Jose, CA 95128","Please drop off donations in the donation box in front of our office. The office building is open Monday -Friday 8am -5pm. Please call 408-292-6061 or e-mail 
info@rnpa.net
 once you make your donation as we are in and out of the office, working remotely. Thank You!","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
331,CA,san jose,Santa Clara Valley Medical Center,"2400 Clove Drive
San Jose, CA 95128",Please call 408-885-5299 before delivery from 8 to 5.,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Hand sanitizers, wipes & infrared thermometers ",Please call to verify
332,CA,san jose,Satellite Healthcare,"1450 Kooser Rd
San Jose, CA 95118",Front Lobby,N95s,No
333,CA,san leandro,Community Health Center Network,"101 Callan Avenue, Suite 300
San Leandro, CA 94577","Can mail items or drop off in 3rd floor lobby if no one is at front desk. Contact Megan Crowley for assistance: 510-297-0425. We can distribute to 8 member health centers serving 150,000+ patients in Alameda County.  ","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
334,CA,san leandro,Kaiser Permanente - San Leandro,"2500 Merced St
San Leandro, CA 94577",Accepting donations at the front of the hospital M-F from 9 am - 3 pm,N95s,
335,CA,san leandro,Royal Ambulance ,"14472 Wicks Blvd
San Leandro, CA 94577",We are open 24/7,"N95s, Surgical masks, Face shields, Gowns, Hand sanitizer, Disinfecting wipes",Yes
336,CA,san luis obispo,Med Stop Urgent Care,"283 Madonna Rd
San Luis Obispo, CA 93405",Mail or drop off,"N95s, Surgical masks",Unsure
337,CA,san marino,San Marino Pediatric Associates,"375 Huntington Drive, Suite F
San Marino, CA 91108",Can drop off in front of door and ring doorbell.,N95s,Yes
338,CA,san mateo,Mission Hospice and Home Care,"1670 S Amphlett Blvd, Suite 300
San Mateo, CA 94402","Please contact Laurie Hill at 
lhill@missionhospice.org
 she is accepting donations Monday through Friday 8-5pm.","N95s, Surgical masks, Face shields, Disposable booties, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",No
339,CA,san mateo,San Mateo County Medical Center,"1600 Floribunda Avenue
Hillsborough CA 94010","Drop off in front of Hillsborough City Hall, there is a donation box under surveillance by the police departent. Contact: John Jurow at 
jjurow@smcgov.org
 or 650-333-5634. Place small goods in a ziplock bag if possible. ","N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, PAPR hoods (personal air purifiers) (with batteries, motors, filters), electronic devices for comfort/communication - Kindles, tablets (ipads, android, etc) with their chargers to help patients in isolation",Yes
340,CA,san pedro,Providence Little Company of Mary San Pedro,"1300 W 7th St
San Pedro, CA 90732",Bring to Emergency Department,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
341,CA,san rafael,"Kaiser Permanente - San Rafael, ER ","99 Montecillo Rd
San Rafael, CA 94903",Can drop off at ER entrance. Ask for manager or charge RN. ,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns",No
342,CA,san ramon,San Ramon Regional Medical ,"6001 Norris Canyon Rd
San Ramon, CA 94583",Please call 925-275-8312 before dropping off,"N95s, Face shields, Hand sanitizer, Disinfecting wipes",No
343,CA,santa ana,Coalition of Orange County Community Health Centers,"515 Cabrillo Park Dr #225
Santa Ana, CA 92701",Call to arrange delivery or drop off,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
344,CA,santa ana,St. Edna Subacute and Rehabilitation Center,"1929 N Fairview St
Santa Ana, CA 92706",Parking Lot - South west corner of parking lot,"N95s, Surgical masks, Face shields, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
345,CA,santa clara,Kaiser Permanente Santa Clara Medical Center,"700 Lawrence Expy
Santa Clara, CA 95051","Drop off items at the Hospital Main Entrance or call (408) 851-5622


OR


To the ED Main Lobby","N95s, Surgical masks, Face shields, Gowns, Disinfecting wipes",
346,CA,santa clara,Mission Skilled Nursing and Subacute Center,"410 N Winchester Blvd
Santa Clara, CA 95050",curbside,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",Yes
347,CA,santa clara,PAMF (Sutter Health) Santa Clara,"3544 Bassett St
Santa Clara, CA 95054",Call (844) 987-6099. Staffed donation windows: M-F: 7AM-4PM Sat/Sun: 9AM-1PM. Call to request staff to come pick up donations curbside. Collection bins/lockers also available for off-hours. This is collection point for all Bay Area PAMFs.,"N95s, Surgical masks, Face shields, Gloves, gowns",Unknown
348,CA,santa clarita,Rheumatology Associates of Southern California,"23206 Lyons Ave #106
Newhall, CA 91321",,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Hand sanitizer, Disinfecting wipes",Yes
349,CA,santa cruz,Dominican Hospital,"1555 Soquel Dr 
Santa Cruz, CA 95065",Drop off with waiting room receptionist,"N95s, Surgical Masks, Face Shields, Unsure about non-mask items, bring them just in case?",Unknown
350,CA,santa cruz,Palo Alto Medical Foundation Santa Cruz Chanticleer Center,"2907 Chanticleer Ave.
Santa Cruz, CA 95065","Drop off curbside with call to 831-477-2377, attn: OBGYN department","N95s, Surgical masks, Face shields, Hand sanitizer",No
351,CA,santa fe springs,Care Ambulance,"12160 Mora Dr
Santa Fe Springs, CA 90670",Attn: Lyle Hanson,"N95s, Surgical masks, Gowns",Yes
352,CA,santa maria,Community Health Centers of the Central Coast,"2050 S Blosser Rd
Santa Maria, CA 93458","2050 S Blosser Rd, drop off to the back of the building. There is a open gate on the left side of the building that anyone can access. ","N95s, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Permeable gowns ",Yes
353,CA,santa monica,Fireside Health Care Center,"947 3rd St
Santa Monica, CA 90403",ATTN: Administrator Janees Nunez,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns",Yes
354,CA,santa monica,Pacific Heart Institute ,"2001 Santa Monica Blvd, Suite 280W
Santa Monica, CA 90404","Call 310-829-7678 and ask for Lan for curbside drop off, or mail to Pacific Heart Institute, 2001 Santa Monica Blvd, Suite 280W, Santa Monica, CA 90404","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Hand sanitizer, disinfectant wipes",Yes
355,CA,santa monica,Providence Saint John's Health Center,"2121 Santa Monica Blvd
Santa Monica, CA 90404",Front of hospital,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns",Yes
356,CA,santa monica,Providence Saint John’s Health Center ,"2121 Santa Monica Blvd 1st Floor
Santa Monica, CA 90404","Drop off or mail to Dr. Paul Natterson’s attention. Mailing address: Providence Saint John’s Health Center, 2121 Santa Monica Blvd, Santa Monica, CA 90404","N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",Yes
357,CA,santa monica,Saint John's Health Center Foundation,"2221 Santa Monica Blvd.
Santa Monica, CA 90404",Drive-Thru donation drop site at Saint John's Foundation Office at 2221 Santa Monica Blvd located at the northwest corner of 23rd and Santa Monica Blvd.  Please enter on 23rd street.  The hours of operation are Monday – Friday from 10 a.m. to 4 p.m. Thanks for being our community partner in battling the COVID-19 virus. ,"N95s, Surgical masks, Face shields, Safety goggles, Gowns",Unused
358,CA,santa monica,TMS & Brain Health,"3200 Santa Monica Blvd., Suite 204
Santa Monica, CA 90404",Please call (833) 867-2329,"N95s, Surgical masks, Gloves, Hand sanitizer, Disinfecting wipes",Yes
359,CA,santa monica,UCLA Medical Center- Santa Monica,"1250 16th St
Santa Monica, CA 90404",covid19PPEsupport@mednet.ucla.edu,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, bleach","unknown, contact email "
360,CA,santa rosa,North Bay Cardiology & North Bay Cardiac Imaging,"4740 Hoen Ave
Santa Rosa, CA 95405",Please call the office for delivery instructions at 707-542-2783,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers, probe covers for digital oral thermometers","Yes, anything we can not use will be given directly to hospital nursing staff"
361,CA,santa rosa,Redwood Interventional Radiology,"121 Sotoyome St
Santa Rosa, CA 95405","ATTN: Lesley Field, PA-C or Dianne Davis","N95s, Surgical masks, Face shields, Gowns, Hand sanitizer, Disinfecting wipes",Yes
362,CA,santa rosa,Santa Rosa Community Health,"711 Stony Point Rd #17
Santa Rosa, CA 95407",Best to drop off outside front door around 8am when clinic opens (but anytime between 8a-5p is okay),"N95s, Surgical masks, Hand sanitizer, Disinfecting wipes, gift cards for patient families who no longer have income",Yes
363,CA,saratoga,Kaiser Santa Clara,"13171 Via Arriba Dr
Saratoga, CA 95070",,"N95s, Face shields, Disposable booties, Safety goggles, Hand sanitizer",No
364,CA,simi valley,West Hills Hospital ,"4786 Summit Ave
Simi Valley, CA 93063",Please drop off to mailbox ,"N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",Yes
365,CA,sonoma,Sonoma Valley Community Health Center,"19270 Sonoma Hwy
Sonoma, CA 95476",Drop off at Health Center. Staff will receive.,"Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Yes
366,CA,south el monte,Greater El Monte Community Hospital,"1701 Santa Anita Ave
South El Monte, CA 91733",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns, Hand sanitizer, Disinfecting wipes, Thermometers",No
367,CA,south san francisco,Kaiser Permanente - South San Francisco,"1200 El Camino Real
South San Francisco, 94080","Emergency Department

ATTN: Ginny Chu


Ginny.C.Chu@kp.org","N95s, Surgical masks, Face shields, Safety goggles, Gowns, Hand sanitizer, Disinfecting wipes",Yes
